Date/Time,Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep) 
 05/01  00:05:00,3895.1433884295577 
 05/01  00:10:00,5575.856792905603 
 05/01  00:15:00,3895.2523500235258 
 05/01  00:20:00,3895.2523500235258 
 05/01  00:25:00,5424.974638782199 
 05/01  00:30:00,3895.2523500235258 
 05/01  00:35:00,3895.2523500235258 
 05/01  00:40:00,5382.267932011393 
 05/01  00:45:00,3895.2523500235258 
 05/01  00:50:00,3895.2523500235258 
 05/01  00:55:00,3895.2523500235258 
 05/01  01:00:00,3895.2523500235258 
 05/01  01:05:00,3882.474750701699 
 05/01  01:10:00,3882.474750701699 
 05/01  01:15:00,3882.474750701699 
 05/01  01:20:00,3882.474750701699 
 05/01  01:25:00,3882.474750701699 
 05/01  01:30:00,5353.644933295667 
 05/01  01:35:00,3882.474750701699 
 05/01  01:40:00,3882.474750701699 
 05/01  01:45:00,5356.268394471807 
 05/01  01:50:00,3882.474750701699 
 05/01  01:55:00,3882.474750701699 
 05/01  02:00:00,5388.908319090579 
 05/01  02:05:00,3876.347797756629 
 05/01  02:10:00,5345.203738368186 
 05/01  02:15:00,3876.347797756629 
 05/01  02:20:00,5477.078932657264 
 05/01  02:25:00,3876.347797756629 
 05/01  02:30:00,5378.921630711514 
 05/01  02:35:00,5362.159339358186 
 05/01  02:40:00,5496.649146314211 
 05/01  02:45:00,3876.347797756629 
 05/01  02:50:00,5538.606697278733 
 05/01  02:55:00,5368.91988149055 
 05/01  03:00:00,5512.089602344564 
 05/01  03:05:00,3876.388718578945 
 05/01  03:10:00,5693.3391958292199 
 05/01  03:15:00,5357.005119400838 
 05/01  03:20:00,5656.802920747935 
 05/01  03:25:00,3876.4330740474758 
 05/01  03:30:00,5854.121770353432 
 05/01  03:35:00,3876.4330740474758 
 05/01  03:40:00,5850.742023251495 
 05/01  03:45:00,3876.4330740474758 
 05/01  03:50:00,5949.494821587077 
 05/01  03:55:00,3876.4330740474758 
 05/01  04:00:00,5990.1478089042179 
 05/01  04:05:00,3908.9271978965355 
 05/01  04:10:00,5942.46708557389 
 05/01  04:15:00,3909.0161731168188 
 05/01  04:20:00,5920.717459786677 
 05/01  04:25:00,3909.0161731168188 
 05/01  04:30:00,5946.701399715128 
 05/01  04:35:00,3909.0161731168188 
 05/01  04:40:00,5949.429824191217 
 05/01  04:45:00,3909.0161731168188 
 05/01  04:50:00,5966.399195602322 
 05/01  04:55:00,3909.0161731168188 
 05/01  05:00:00,5975.43111653929 
 05/01  05:05:00,5309.62297966088 
 05/01  05:10:00,5599.569531425989 
 05/01  05:15:00,5564.014115106911 
 05/01  05:20:00,4834.109665115629 
 05/01  05:25:00,3996.563429522809 
 05/01  05:30:00,5778.092605880816 
