Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 05/01  01:00:00,143691573.83332426,143691573.83332587,33337836.0,72776509.29434879,18528594.31998858 
 05/01  02:00:00,141198564.7122173,141198564.7122189,33337836.0,69428446.02933632,18528594.31998858 
 05/01  03:00:00,138601455.23612274,138601455.23612435,33337836.0,67754414.39682992,18528594.31998858 
 05/01  04:00:00,150472572.57657305,150472572.57657457,33337836.0,71432354.39682992,26721477.97243234 
 05/01  05:00:00,180653443.3541097,180653443.35411126,33337836.0,87158392.55936134,41059024.81671337 
 05/01  06:00:00,209710904.00838465,209710904.0083834,127476290.46270986,120284500.51693063,43107245.639323528 
 05/01  07:00:00,201671718.95584453,201671718.955846,225866755.10788466,146054728.4744999,41059024.81671337 
 05/01  08:00:00,189048377.41862453,189048377.41862614,220301298.15735764,147728760.10700623,26721477.97243234 
 05/01  09:00:00,175632527.18556444,175632527.18556596,187386262.04954959,138368971.73951254,22625035.96520881 
 05/01  10:00:00,164352740.00847564,164352740.0084772,151161405.34800447,127005275.00452493,22625035.96520881 
 05/01  11:00:00,166070462.85635246,166070462.8563541,145720005.55547256,128679306.63703139,22625035.96520881 
 05/01  12:00:00,164352740.00847564,164352740.0084772,115268503.20690711,127005275.00452493,22625035.96520881 
 05/01  13:00:00,159204216.15104006,159204216.15104167,113879281.46591269,121983180.1070062,22625035.96520881 
 05/01  14:00:00,157489569.83554069,157489569.83554239,86020005.3160187,120309148.4744999,22625035.96520881 
 05/01  15:00:00,168780673.127597,168780673.12759865,113753636.89349875,125331243.37201898,28769699.15704594 
 05/01  16:00:00,218488156.41612447,218488156.41612257,115816457.66577292,160131382.96209438,43107245.639323528 
 05/01  17:00:00,276519200.07938668,276519200.0793846,179105119.35225795,204645835.61222039,55396571.298990879 
 05/01  18:00:00,290857645.14269646,290857645.14269456,185812218.32957349,204645835.61222039,69734118.14327161 
 05/01  19:00:00,281553056.233294,281553056.23329219,183693981.53009326,185571734.18467615,79975222.98032911 
 05/01  20:00:00,303552868.7087233,303552868.70872136,171258958.69781656,178875607.65465085,79975222.98032911 
 05/01  21:00:00,278431264.2930348,278431264.2930329,126138321.59363568,164823601.1246259,59493013.3062144 
 05/01  22:00:00,266411388.49295593,266411388.49295406,115387163.51283132,134031278.2695377,39010803.63209971 
 05/01  23:00:00,203708537.71211083,203708537.7121125,84561386.23767083,104912987.04695572,24673257.149822248 
 05/01  24:00:00,158944522.514725,158944522.51472659,33337836.0,79472635.8243741,18528594.31998858 
 05/02  01:00:00,149787997.4537093,149787997.4537109,33337836.0,72776509.29434879,18528594.31998858 
 05/02  02:00:00,145323587.1591903,145323587.15919186,33337836.0,69428446.02933632,18528594.31998858 
 05/02  03:00:00,138601455.23612274,138601455.23612435,33337836.0,67754414.39682992,18528594.31998858 
 05/02  04:00:00,150922939.01280216,150922939.01280368,33337836.0,71432354.39682992,26721477.97243234 
 05/02  05:00:00,181103656.34853906,181103656.3485406,33337836.0,87158392.55936134,41059024.81671337 
 05/02  06:00:00,209710904.00838465,209710904.00838337,127404120.25224546,120284500.51693063,43107245.639323528 
 05/02  07:00:00,201916125.23419065,201916125.2341921,222590604.439177,146293383.9335012,41059024.81671337 
 05/02  08:00:00,192820848.68485333,192820848.68485496,194295652.6010046,149227177.3451531,28958421.146958624 
 05/02  09:00:00,179405675.62169705,179405675.62169857,194688822.97837309,139867388.97765938,24861979.139735078 
 05/02  10:00:00,168127259.6876081,168127259.68760959,171067651.05649168,128503692.24267179,24861979.139735078 
 05/02  11:00:00,169845685.79959915,169845685.79960064,145423241.47617603,130177723.87517827,24861979.139735078 
 05/02  12:00:00,167681989.45441256,167681989.4544142,115233533.85647576,128385990.86668752,24537513.819436253 
 05/02  13:00:00,162976657.67485056,162976657.67485217,113730941.96175173,123481597.34515308,24861979.139735078 
 05/02  14:00:00,161261330.66480718,161261330.66480867,85981896.91785932,121807565.71264674,24861979.139735078 
 05/02  15:00:00,172554498.53269787,172554498.5326995,113754960.75055483,126829660.61016584,31006642.33157221 
 05/02  16:00:00,222270760.80953536,222270760.8095335,115780903.24677149,161629800.20024125,45344188.81384978 
 05/02  17:00:00,313823243.7317493,313823243.7317474,149941972.09593676,204884491.07122169,55396571.298990879 
 05/02  18:00:00,315397711.28457435,315397711.2845724,209658697.99961929,204645835.61222039,69734118.14327161 
 05/02  19:00:00,281553056.233294,281553056.23329219,183801872.73526968,185571734.18467615,79975222.98032911 
 05/02  20:00:00,303552868.7087233,303552868.70872136,156397346.46945317,178875607.65465085,79975222.98032911 
 05/02  21:00:00,278431264.2930348,278431264.29303297,145476551.69371433,164823601.1246259,59493013.3062144 
 05/02  22:00:00,350937784.03990539,350937784.03990367,115271713.38114965,134031278.2695377,39010803.63209971 
 05/02  23:00:00,266723389.8440732,266723389.84407503,58728295.16339086,104912987.04695572,24673257.149822248 
 05/02  24:00:00,213114845.0164114,213114845.01641316,33337836.0,79472635.8243741,18528594.31998858 
