BuildingID,Variable Name,Subvariable Name,Upload Status,Upload Time
1,Facility Total HVAC Electric Demand Power,NA,Upload Completed,0:44:50
1,Schedule Value,NA,Upload Completed,0:00:00
1,Site Diffuse Solar Radiation Rate per Area,NA,Upload Completed,0:49:04
1,Site Direct Solar Radiation Rate per Area,NA,Upload Completed,0:52:24
1,Site Outdoor Air Drybulb Temperature,NA,Upload Completed,0:43:12
1,Site Solar Altitude Angle,NA,Upload Completed,0:42:55
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,NA,Upload Started,None
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 EWALL C,Upload Completed,00:43:19
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2WINDOW14,Upload Completed,00:43:15
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 WWALL C,Upload Completed,00:43:01
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2WINDOW13,Upload Completed,00:43:21
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 NIWALL S1A,Upload Completed,00:43:17
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 NIWALL S2A,Upload Completed,00:43:12
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 NIWALL SEA,Upload Completed,00:43:27
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 NIWALL SWA,Upload Completed,00:43:25
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 SIWALL N1A,Upload Completed,00:43:34
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 SIWALL N2A,Upload Completed,00:43:31
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 SIWALL NEA,Upload Completed,00:43:42
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 SIWALL NWA,Upload Completed,00:43:14
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 FLOOR C,Upload Completed,00:43:43
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 CEILING C,Upload Completed,00:43:37
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 EIWALL N1A,Upload Completed,00:43:41
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 NWALL N1A,Upload Completed,00:43:37
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2WINDOW9,Upload Completed,00:43:30
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 SIWALL N1A,Upload Completed,00:44:02
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,iz-F2 EIWALL NWA,Upload Completed,00:43:42
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 GFLOOR N1A,Upload Completed,00:43:44
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 CEILIN N1A,Upload Completed,00:43:39
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 N1 APARTMENT_INTERNALMASS_1,Upload Completed,00:43:52
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 EIWALL N2A,Upload Completed,00:43:54
1,Surface Inside Face Internal Gains Radiation Heat Gain Rate,F2 NWALL N2A,Upload Started,None
1,Surface Inside Face Lights Radiation Heat Gain Rate,NA,Upload Started,None
1,Surface Inside Face Lights Radiation Heat Gain Rate,F2 EWALL C,Upload Completed,00:46:45
1,Surface Inside Face Lights Radiation Heat Gain Rate,F2 WWALL C,Upload Completed,00:51:27
1,Surface Inside Face Lights Radiation Heat Gain Rate,iz-F2 NIWALL S1A,Upload Completed,00:51:53
1,Surface Inside Face Lights Radiation Heat Gain Rate,iz-F2 NIWALL S2A,Upload Completed,00:55:35
1,Surface Inside Face Lights Radiation Heat Gain Rate,iz-F2 NIWALL SEA,Upload Started,None
1,Surface Inside Face Solar Radiation Heat Gain Rate,NA,Upload Started,None
1,Surface Inside Face Solar Radiation Heat Gain Rate,F2 EWALL C,Upload Completed,00:42:26
1,Surface Inside Face Solar Radiation Heat Gain Rate,F2 WWALL C,Upload Started,None
